census_tract,block_group,total_pop,pct_white,pct_black,stat_nb
2403,1,805,0.912,0.046,Federal Hill
2403,2,655,0.911,0.029,Riverside
2403,3,681,0.935,0.016,Riverside
2404,1,1056,0.905,0.027,Riverside
2404,2,314,0.93,0.022,Riverside
2404,3,1201,0.937,0.018,Riverside
2501.01,1,1101,0.085,0.887,Beechfield
2501.01,2,2525,0.086,0.876,Beechfield
2501.02,1,1111,0.078,0.864,Irvington
2501.02,2,1799,0.086,0.877,Oaklee-Yale Heights
2501.03,1,1452,0.691,0.269,Saint Agnes
2501.03,2,839,0.803,0.122,Violetville
2501.03,3,850,0.804,0.145,Violetville
2501.03,4,909,0.606,0.311,Oaklee-Yale Heights
2502.03,1,975,0.024,0.952,Cherry Hill
2502.03,2,1043,0.037,0.923,Cherry Hill
2502.04,1,1538,0.004,0.988,Cherry Hill
2502.04,2,2587,0.006,0.981,Cherry Hill
2502.05,1,195,0.518,0.4,Cherry Hill
2502.05,2,1381,0.18,0.663,Lakeland
2502.05,3,893,0.373,0.527,Lakeland
2502.05,4,1327,0.398,0.467,Lakeland
2502.05,5,893,0.269,0.539,Lakeland
2502.06,1,810,0.737,0.164,Wilhelm Park
2502.06,2,902,0.817,0.088,Morrell Park
2502.06,3,878,0.777,0.149,Morrell Park
2502.07,1,1206,0.036,0.919,Cherry Hill
2502.07,2,853,0.02,0.934,Cherry Hill
2503.01,1,985,0.19,0.762,Westport
2503.01,2,1445,0.017,0.961,Mount Winans
2503.03,1,661,0.805,0.133,Saint Paul
2503.03,2,1021,0.681,0.184,Morrell Park
2503.03,3,642,0.783,0.126,Morrell Park
2504.01,1,1637,0.612,0.299,Brooklyn
2504.01,2,936,0.723,0.162,Brooklyn
2504.01,3,1250,0.594,0.208,Brooklyn
2504.02,1,1390,0.412,0.512,Brooklyn
2504.02,2,995,0.069,0.871,Brooklyn
2504.02,3,1404,0.518,0.288,Brooklyn
2504.02,4,1141,0.556,0.35,Brooklyn
2505,1,2,0,1,Curtis Bay
2505,2,122,0.648,0.311,Curtis Bay
2505,3,2156,0.652,0.224,Curtis Bay
2505,4,1301,0.571,0.317,Curtis Bay
2505,5,1887,0.396,0.515,Curtis Bay
2506,1,22,0.773,0.045,Brooklyn
2601.01,1,837,0.534,0.431,Cedmont
2601.01,2,835,0.41,0.552,Cedmont
2601.01,3,1302,0.143,0.819,Frankford
2601.01,4,740,0.291,0.68,Frankford
2601.01,5,1049,0.409,0.531,Cedmont
2601.02,1,1123,0.072,0.908,Cedonia
2601.02,2,840,0.089,0.889,Cedonia
2601.02,3,649,0.102,0.854,Frankford
2601.02,4,922,0.246,0.719,Frankford
2601.02,5,1377,0.184,0.755,Frankford
2602.01,1,1042,0.248,0.709,Frankford
2602.01,2,981,0.168,0.767,Frankford
2602.01,3,824,0.124,0.819,Frankford
2602.01,4,2269,0.046,0.883,Frankford
2602.02,1,652,0.103,0.877,Frankford
2602.02,2,2308,0.092,0.753,Frankford
2602.02,3,1733,0.066,0.913,Parkside
2602.02,4,1244,0.104,0.867,Belair-Edison
2602.03,1,1870,0.046,0.907,Frankford
2602.03,2,960,0.121,0.855,Frankford
2603.01,1,843,0.081,0.905,Belair-Edison
2603.01,2,1043,0.08,0.905,Belair-Edison
2603.01,3,824,0.079,0.893,Belair-Edison
2603.01,4,773,0.056,0.911,Belair-Edison
2603.01,5,1450,0.058,0.923,Belair-Edison
2603.02,1,649,0.071,0.921,Belair-Edison
2603.02,2,910,0.11,0.875,Belair-Edison
2603.02,3,791,0.064,0.923,Belair-Edison
2603.02,4,1958,0.061,0.914,Belair-Edison
2603.02,5,728,0.096,0.872,Belair-Edison
2603.02,6,1058,0.053,0.91,Belair-Edison
2603.03,1,778,0.279,0.632,Orchard Ridge
2604.01,1,1044,0.778,0.026,Armistead Gardens
2604.01,2,1641,0.796,0.032,Armistead Gardens
2604.01,3,545,0.745,0.029,Armistead Gardens
2604.02,1,1496,0.031,0.921,Frankford
2604.02,2,1152,0.095,0.859,Frankford
2604.03,1,1536,0.027,0.94,Cedonia
2604.03,2,39,0.41,0.487,Armistead Gardens
2604.04,1,14,0.643,0.286,Cedonia
2604.04,2,580,0.522,0.217,Orangeville-Kresson
2604.04,3,1402,0.29,0.328,Baltimore Highlands
2605.01,1,2367,0.649,0.112,Hopkins Bayview
2605.01,2,1494,0.675,0.033,Greektown
2605.01,3,1014,0.814,0.051,Graceland Park
2606.04,1,597,0.248,0.64,O'Donnell Heights
2606.04,2,417,0.576,0.249,O'Donnell Heights
2606.04,3,451,0.157,0.747,O'Donnell Heights
2606.05,1,1197,0.748,0.078,Graceland Park
2606.05,2,1726,0.615,0.199,Broening Manor
2606.05,3,1127,0.466,0.278,Medford
2606.05,4,608,0.821,0.09,Saint Helena
2606.05,5,120,0.825,0.125,Canton
2606.05,6,17,0.588,0.118,Greektown
2607,1,1116,0.633,0.095,Orangeville-Kresson
2607,2,1144,0.649,0.096,Greektown
2608,1,1412,0.465,0.227,Baltimore Highlands
2608,2,1235,0.564,0.126,Highlandtown
2609,1,958,0.778,0.047,Canton
2609,2,868,0.859,0.037,Brewers Hill
2609,3,826,0.891,0.039,Canton
2610,1,728,0.093,0.712,Ellwood Park/Monument
2610,2,693,0.208,0.504,Patterson Park Neighborhood
2610,3,795,0.313,0.318,Patterson Park Neighborhood
2610,4,1037,0.669,0.168,Highlandtown
2611,1,816,0.828,0.059,Canton
2611,2,1135,0.9,0.032,Canton
2701.01,1,720,0.697,0.263,Arcadia-Parkside
2701.01,2,978,0.258,0.668,Arcadia-Parkside
2701.02,1,797,0.266,0.71,Waltherson
2701.02,2,836,0.206,0.755,Waltherson
2701.02,3,938,0.18,0.759,Waltherson
2701.02,4,1178,0.312,0.651,Moravia-Walther
2702,1,595,0.555,0.41,Beverly Hills
2702,2,671,0.563,0.344,Lauraville
2702,3,648,0.477,0.478,Lauraville/Morgan Park
2703.01,1,667,0.469,0.486,Lauraville/Morgan Park
2703.01,2,794,0.394,0.533,Lauraville/Morgan Park
2703.01,3,578,0.171,0.78,Lauraville
2703.01,4,1109,0.298,0.668,Lauraville/Morgan Park
2703.02,1,875,0.434,0.506,Waltherson
2703.02,2,889,0.426,0.53,Moravia-Walther
2704.01,1,1969,0.328,0.618,Glenham-Belhar
2704.01,2,1420,0.315,0.65,Glenham-Belhar
2704.01,3,1199,0.175,0.78,Waltherson
2704.01,4,824,0.312,0.648,Waltherson
2704.02,1,677,0.368,0.579,Glenham-Belhar
2704.02,2,701,0.481,0.474,Glenham-Belhar
2704.02,3,641,0.485,0.456,Glenham-Belhar
2704.02,4,1210,0.442,0.516,Glenham-Belhar
2705.01,1,754,0.741,0.19,Taylor Heights-Overlea
2705.01,2,901,0.781,0.178,North Harford Road
2705.01,3,1180,0.539,0.432,North Harford Road
2705.01,4,1585,0.595,0.358,North Harford Road
2705.02,1,995,0.444,0.512,Rosemont East
2705.02,2,1308,0.36,0.572,Rosemont East
2705.02,3,970,0.495,0.47,Westfield
2705.02,4,1088,0.534,0.388,Westfield
2706,1,542,0.498,0.437,Hamilton Hills
2706,2,865,0.497,0.437,Hamilton Hills
2706,3,971,0.367,0.596,Hamilton Hills
2706,4,947,0.546,0.392,Hamilton Hills
2706,5,638,0.194,0.752,Hamilton Hills
2706,6,642,0.132,0.849,Hamilton Hills
2707.01,1,2583,0.022,0.943,Hamilton Hills
2707.02,1,685,0.02,0.94,Hamilton Hills
2707.02,2,824,0.217,0.732,Hamilton Hills
2707.02,3,824,0.518,0.427,Westfield
2707.03,1,933,0.698,0.229,North Harford Road
2707.03,2,993,0.63,0.304,North Harford Road
2707.03,3,972,0.464,0.509,Hamilton Hills
2708.01,1,954,0.104,0.86,Idlewood
2708.01,2,943,0.119,0.854,Idlewood
2708.01,3,897,0.104,0.863,Glen Oaks
2708.01,4,1257,0.161,0.789,Idlewood
2708.02,1,856,0.076,0.898,Ramblewood
2708.02,2,1162,0.029,0.923,Woodbourne Heights
2708.02,3,759,0.018,0.947,Woodbourne Heights
2708.02,4,1370,0.039,0.92,Glen Oaks
2708.02,5,845,0.041,0.941,Ramblewood
2708.03,1,2571,0.053,0.925,Loch Raven
2708.03,2,1679,0.083,0.831,Loch Raven
2708.03,3,2018,0.119,0.861,Loch Raven
2708.04,1,976,0.299,0.508,Lake Walker
2708.04,2,589,0.304,0.642,Evesham Park
2708.04,3,632,0.78,0.161,Lake Walker
2708.04,4,607,0.593,0.313,Lake Walker
2708.05,1,1038,0.063,0.894,Chinquapin Park
2708.05,2,924,0.032,0.949,Cameron Village
2708.05,3,1011,0.076,0.888,Cameron Village
2708.05,4,988,0.077,0.883,Mid-Govans
2708.05,5,991,0.306,0.665,Belvedere
2709.01,1,955,0.031,0.946,New Northwood
2709.01,2,1128,0.02,0.961,New Northwood
2709.01,3,1960,0.015,0.956,New Northwood
2709.02,1,1871,0.038,0.942,Perring Loch
2709.02,2,1339,0.11,0.856,Stonewood-Pentwood-Winston
